match_id,home_team,away_team,home_goals,away_goals,Passes %,Goalkeeper Saves,Ball Possession
9715,Sevilla,Real Betis,3,5,80%,,51%
20782,Sevilla,Real Betis,1,0,69%,2.0,45%
27456,Sevilla,Real Betis,3,2,85%,2.0,62%
203683,Sevilla,Real Betis,2,0,68%,1.0,45%
214300,Sevilla,Real Betis,2,0,85%,3.0,55%
605334,Sevilla,Real Betis,1,0,80%,2.0,48%
720996,Sevilla,Real Betis,2,1,81%,1.0,54%
878288,Sevilla,Real Betis,0,0,75%,4.0,46%
1030650,Sevilla,Real Betis,1,0,,1.0,45%
1038076,Sevilla,Real Betis,1,1,77%,3.0,39%
